quote,author,tags,likes
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/books"">books</a>,
       <a href=""/quotes/tag/contentment"">contentment</a>,
       <a href=""/quotes/tag/friends"">friends</a>,
       <a href=""/quotes/tag/friendship"">friendship</a>,
       <a href=""/quotes/tag/life"">life</a>
</div>",44426
"It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.",Maurice Switzer,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/misattributed-to-abraham-lincoln"">misattributed-to-abraham-lincoln</a>,
       <a href=""/quotes/tag/misattributed-to-mark-twain"">misattributed-to-mark-twain</a>,
       <a href=""/quotes/tag/remaining-silent"">remaining-silent</a>,
       <a href=""/quotes/tag/wisdom"">wisdom</a>
</div>",43232
"The fool doth think he is wise, but the wise man knows himself to be a fool.",William Shakespeare,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/wisdom"">wisdom</a>
</div>",42618
"We are all in the gutter, but some of us are looking at the stars.",Oscar Wilde,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/optimism"">optimism</a>,
       <a href=""/quotes/tag/perception"">perception</a>,
       <a href=""/quotes/tag/pessimism"">pessimism</a>
</div>",42409
Life is what happens to us while we are making other plans.,Allen Saunders,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/fate"">fate</a>,
       <a href=""/quotes/tag/life"">life</a>,
       <a href=""/quotes/tag/misattributed-john-lennon"">misattributed-john-lennon</a>,
       <a href=""/quotes/tag/planning"">planning</a>,
       <a href=""/quotes/tag/plans"">plans</a>
</div>",42283
"Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).",Mark Twain,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/individuality"">individuality</a>,
       <a href=""/quotes/tag/majority"">majority</a>,
       <a href=""/quotes/tag/minority"">minority</a>,
       <a href=""/quotes/tag/pause"">pause</a>,
       <a href=""/quotes/tag/reflect"">reflect</a>,
       <a href=""/quotes/tag/wisdom"">wisdom</a>
</div>",42176
"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.",Neil Gaiman,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/books"">books</a>,
       <a href=""/quotes/tag/dragons"">dragons</a>,
       <a href=""/quotes/tag/fairy-tales"">fairy-tales</a>,
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/paraphrasing-g-k-chesterton"">paraphrasing-g-k-chesterton</a>
</div>",41791
"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",Bill Keane,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/hope"">hope</a>,
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/misattributed-eleanor-roosevelt"">misattributed-eleanor-roosevelt</a>,
       <a href=""/quotes/tag/past"">past</a>,
       <a href=""/quotes/tag/present"">present</a>,
       <a href=""/quotes/tag/widely-misattributed"">widely-misattributed</a>
</div>",40872
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/edison"">edison</a>,
       <a href=""/quotes/tag/failure"">failure</a>,
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/paraphrased"">paraphrased</a>
</div>",39815
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/misattributed-eleanor-roosevelt"">misattributed-eleanor-roosevelt</a>
</div>",39804
The man who does not read has no advantage over the man who cannot read.,Mark Twain,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/aliteracy"">aliteracy</a>,
       <a href=""/quotes/tag/attributed-no-source"">attributed-no-source</a>,
       <a href=""/quotes/tag/literacy"">literacy</a>
</div>",39016
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/activism"">activism</a>,
       <a href=""/quotes/tag/apathy"">apathy</a>,
       <a href=""/quotes/tag/hate"">hate</a>,
       <a href=""/quotes/tag/indifference"">indifference</a>,
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/love"">love</a>,
       <a href=""/quotes/tag/opposite"">opposite</a>,
       <a href=""/quotes/tag/philosophy"">philosophy</a>
</div>",38908
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/friendship"">friendship</a>,
       <a href=""/quotes/tag/lack-of-friendship"">lack-of-friendship</a>,
       <a href=""/quotes/tag/lack-of-love"">lack-of-love</a>,
       <a href=""/quotes/tag/love"">love</a>,
       <a href=""/quotes/tag/marriage"">marriage</a>,
       <a href=""/quotes/tag/unhappy-marriage"">unhappy-marriage</a>
</div>",38815
If you don't stand for something you will fall for anything.,Gordon A. Eadie,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/belief"">belief</a>,
       <a href=""/quotes/tag/integrity"">integrity</a>,
       <a href=""/quotes/tag/misattributed-to-malcolm-x"">misattributed-to-malcolm-x</a>,
       <a href=""/quotes/tag/misattributed-to-rosa-parks"">misattributed-to-rosa-parks</a>
</div>",38070
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",douglas adams,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/life"">life</a>,
       <a href=""/quotes/tag/navigation"">navigation</a>
</div>",37608
I solemnly swear that I am up to no good.,J.K. Rowling,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/mischief"">mischief</a>
</div>",37424
"Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.",Groucho Marx,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/animals"">animals</a>,
       <a href=""/quotes/tag/books"">books</a>,
       <a href=""/quotes/tag/dogs"">dogs</a>,
       <a href=""/quotes/tag/friends"">friends</a>,
       <a href=""/quotes/tag/humor"">humor</a>
</div>",36723
"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",Pablo Neruda,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/love"">love</a>,
       <a href=""/quotes/tag/poetry"">poetry</a>
</div>",36591
I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,Albert Einstein,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/1929"">1929</a>,
       <a href=""/quotes/tag/imagination"">imagination</a>,
       <a href=""/quotes/tag/inspirational"">inspirational</a>,
       <a href=""/quotes/tag/viereck-interview"">viereck-interview</a>
</div>",36230
"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Dr. Seuss,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/fantasy"">fantasy</a>
</div>",35555
"Love all, trust a few, do wrong to none.",William Shakespeare,"<div class=""greyText smallText left"">
     tags:
       <a href=""/quotes/tag/do-wrong"">do-wrong</a>,
       <a href=""/quotes/tag/love"">love</a>,
       <a href=""/quotes/tag/trust"">trust</a>,
       <a href=""/quotes/tag/wrong"">wrong</a>
</div>",34756
